title,price_raw,nights,nights_source,price_gbp_total,price_gbp_per_night,rating,review_count,is_new_listing,url,room_id,property_type,is_hotel_brand,search_borough,zone,price_band_min,price_band_max,price_band_label,page_scraped,scraped_at
Room in Barking,£145 £125 total Show price breakdown,4,assumed_from_search_dates,125.0,31.25,5.0,6.0,False,https://www.airbnb.co.uk/rooms/1656014065513845102?check_in=2026-09-01&check_out=2026-09-05&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2577773501&source_impression_id=p3_1785847662_P3ryoSOrnqTmpe2j&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,1656014065513845102,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in Newham,£202 £178 total Show price breakdown Pay £0 today Free cancellation,4,assumed_from_search_dates,178.0,44.5,4.84,64.0,False,https://www.airbnb.co.uk/rooms/18605858?check_in=2026-09-01&check_out=2026-09-05&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1991668456&source_impression_id=p3_1785847662_P3-MT2mK-DUDV2s6&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,18605858,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in East Ham,£184 total Show price breakdown £184 total Pay £0 today Free cancellation,4,assumed_from_search_dates,184.0,46.0,4.68,282.0,False,https://www.airbnb.co.uk/rooms/35714817?check_in=2026-09-01&check_out=2026-09-05&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1063258780&source_impression_id=p3_1785847662_P3JRI7jNBwNuQ7GO&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,35714817,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in Newham,£234 total Show price breakdown £234 total,4,assumed_from_search_dates,234.0,58.5,,,True,https://www.airbnb.co.uk/rooms/830259732159297926?check_in=2026-09-01&check_out=2026-09-05&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2740988249&source_impression_id=p3_1785847662_P3-DsvLh4JR_crws&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,830259732159297926,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in Barking,£164 £141 total Show price breakdown Pay £0 today Free cancellation,4,assumed_from_search_dates,141.0,35.25,4.33,80.0,False,https://www.airbnb.co.uk/rooms/1393315971091496785?check_in=2026-09-01&check_out=2026-09-05&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2129459719&source_impression_id=p3_1785847662_P38WCj5WT2HujOzi&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,1393315971091496785,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in East Ham,£212 total Show price breakdown £212 total Pay £0 today Free cancellation,4,assumed_from_search_dates,212.0,53.0,4.66,241.0,False,https://www.airbnb.co.uk/rooms/579786244229587440?check_in=2026-09-01&check_out=2026-09-05&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1359604053&source_impression_id=p3_1785847662_P34VqAmRVbLnLF9X&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,579786244229587440,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in Barking,£186 £154 total Show price breakdown,4,assumed_from_search_dates,154.0,38.5,4.92,133.0,False,https://www.airbnb.co.uk/rooms/52782714?check_in=2026-09-01&check_out=2026-09-04&search_mode=regular_search&adults=1&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=1531178561&source_impression_id=p3_1785847663_P3a_H3pZ65UiCS8A&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,52782714,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in London,£133 £118 total Show price breakdown,4,assumed_from_search_dates,118.0,29.5,4.82,11.0,False,https://www.airbnb.co.uk/rooms/1531968565621725376?check_in=2026-09-02&check_out=2026-09-05&search_mode=regular_search&adults=1&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2370570053&source_impression_id=p3_1785847663_P35FayAbbteY2Qn-&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,1531968565621725376,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in Newham,£177 £147 total Show price breakdown,4,assumed_from_search_dates,147.0,36.75,4.83,149.0,False,https://www.airbnb.co.uk/rooms/726925757888903935?check_in=2026-09-02&check_out=2026-09-05&search_mode=regular_search&adults=1&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=1953486769&source_impression_id=p3_1785847663_P3d7k8tJLJDDn9IH&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,726925757888903935,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
Room in Newham,£172 £127 total Show price breakdown,4,assumed_from_search_dates,127.0,31.75,5.0,9.0,False,https://www.airbnb.co.uk/rooms/1439970129966092920?check_in=2026-08-31&check_out=2026-09-03&search_mode=regular_search&adults=1&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2706007011&source_impression_id=p3_1785847663_P36ksD1XyA5uDrD6&previous_page_section_name=1000&federated_search_id=db7c7dbf-47da-4a3b-b1e4-4c204794fcfa,1439970129966092920,Room,False,"Barking and Dagenham, London, United Kingdom",Outer London,,75.0,£0-75,1,2026-08-04T13:47:46
